"Your Kindle Notes For:",,,
"THE ST. GALLEN MAFIA: EXPOSING THE SECRET REFORMIST GROUP WITHIN THE CHURCH",,,
"by Julia Meloni",,,
"Free Kindle instant preview:",,,
"https://a.co/cvIxtvz",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 1889","","Boni was saying that even an election touched by simony—the buying and selling of spiritual things, such as Church offices—was not punished with invalidity under John Paul II’s constitution. Similarly, the constitution did not invalidate elections resulting from pacts or the kind of commitments initially described by Ivereigh."
"Highlight (Yellow)","Location 1891","","The kingmaker had done it. Two days after the election, the new pope joked to Murphy-O’Connor, “It’s your fault. What have you done to me?”"
"Highlight (Yellow)","Location 1894","","“God writes straight with crooked lines.”"
"Highlight (Yellow)","Location 2122","","Then Francis smiled again and said, “Proselytism is solemn nonsense.”"
"Highlight (Yellow)","Location 2252","","“The thought is enough to keep him awake at night. For it is his firm belief that the willingness to suspend judgment is the core of the dictatorship of relativism.”"
"Highlight (Yellow)","Location 2426","","The Sankt Gallen group is a sort of posh name,” Danneels said, holding a microphone in an espresso-toned chair below a giant cross. He looked a little stiff, hunched up, but his voice sounded intimate. “But in reality we said of ourselves, and of that group: ‘the mafia,’” he said."
"Highlight (Yellow)","Location 2429","","Danneels’s expression of seriousness did not soften as he said it. Some laughs rose up from the audience. His interviewer smiled with a half-nod that said he was not quite sure what to make of that strange statement. Danneels had just confessed."
"Highlight (Yellow)","Location 2441","","“The election of Bergoglio was prepared in Sankt Gallen, without doubt,” claimed another biographer of Danneels, Karim Schelkens. “And the main lines of the program the pope is carrying out are those that Danneels and Co. were starting to discuss more than ten years ago.”"
"Highlight (Yellow)","Location 2449","","The election of Bergoglio was not “prepared in St. Gallen”; rather, it “corresponded with the aims of St. Gallen.”"
"Highlight (Yellow)","Location 2502","","“What do you really want?” snapped Danneels on the tape, telling the victim he didn’t need to hear his story again. “Do you want this to be made public?” Danneels later asked before answering his own question, saying that “actually it would be better” to hold off on reporting the abuser.22 When the victim persisted in requesting Danneels’s help in reporting the abuse, the cardinal said only the pope had authority over the bishop—and “the pope isn’t that easy to reach.”"
"Highlight (Yellow)","Location 2540","","“The womb of mercy.” An enthusiastic Danneels promised “tenderness,” “security.” And yet the sexual abuse victim who secretly recorded Danneels could be heard crying out to him: “Why do you feel so sorry for [my abuser] and not for me? You’re always trying to defend him. I thought I was going to get some support, but I have to sit here and defend myself against things I can’t do anything about.”"
"Highlight (Yellow)","Location 2668","","For if Antonio Gramsci, an originator of cultural Marxism, taught “how to achieve revolution by stealth,” Silvas thought that Francis was putting those theories into practice. He was pursuing not a direct change in doctrine but an “incremental change of praxis” across the individual regions of the world, until the praxis would be “sufficiently built up over time to a point of no return.”"
"Highlight (Yellow)","Location 2695","","A group of four cardinals saw the danger too. In late 2016, they revealed that they had presented Pope Francis with five dubia—formal theological questions seeking clarification."
"Highlight (Yellow)","Location 2703","","Thick, unbroken silence came from Francis. This was what it looked like to have a pope who, in line with St. Gallen’s aims, called himself primarily the “bishop of Rome,” downplayed his doctrinal role, and pursued “decentralization,” “synodality,” and “collegiality."
"Highlight (Yellow)","Location 2709","","“Each of us has a vision of good and of evil. We have to encourage people to move towards what they think is Good,” Francis reportedly said."
"Highlight (Yellow)","Location 2730","","“Conscience is the innermost core and shrine of man, in which he is alone with God” (Gaudium et Spes 16).24"
"Highlight (Yellow)","Location 2763","","Shortly before the youth synod started, Archbishop Carlo Maria Viganò accused Francis of covering up sexual abuse by then cardinal Theodore McCarrick. Viganò further accused multiple synodal fathers of complicity in the cover-up.36 Francis said he would not say one word about the allegations."
"Highlight (Yellow)","Location 2933","","2015, Brandmüller had prophetically sketched the full revolutionary arc. “Communion for the divorced and ‘remarried’ [comes] first,” he said. “Then abolition of priestly celibacy, second. Priesthood for women is the ultimate aim, and lastly unification with the Protestants."
"Highlight (Yellow)","Location 2985","","In the Vatican gardens, with Pope Francis watching, a group led by a female native encircled a mandala and bowed down before a Pachamama idol."
"Highlight (Yellow)","Location 2997","","The cry swelled up from Benedict in his 2020 book From the Depths of Our Hearts, written with Cardinal Robert Sarah. “The Lord is asleep while the storm is unleashed. He seems to abandon us to the waves of doubt and error. We are tempted to lose confidence. On every side, the waves of relativism are submerging the barque of the Church,” they said."
"Highlight (Yellow)","Location 3000","","Just before the 2005 conclave, Ratzinger had spoken against the winds of the dictatorship of relativism. Then, as Pope Benedict XVI, he had repeatedly stressed celibacy’s mysterious power against the storm.34"
"Highlight (Yellow)","Location 3182","","Ultimately, Martini hailed Martin Luther as a “great reformer” but said, in Night Conversations, “I have a problem with the fact that he makes a separate system out of necessary reforms and ideals.”24"
"Highlight (Yellow)","Location 3184","","Working slowly within the Church was the mafia’s way."
"Highlight (Yellow)","Location 3324","","Time, the mysterious cardinal of Confession d’un Cardinal once said, is “our first master.” You had to arrive on time—neither too early nor too late. And if you made it on time, whether by “chance” or by “calculation,” you seized control of your destiny."
"Highlight (Yellow)","Location 3344","","Bergoglio took the papal name Francis—and the pope became, in the words of The Wall Street Journal, “the leader of the global Left.”"
"Highlight (Yellow)","Location 3360","","Recalling the unspoken, informal rule against electing cardinals eighty and over, the mysterious cardinal envisaged some “Cardinal X” who could have been elected instead."
"Highlight (Yellow)","Location 3392","","Martini is said to have told Ratzinger in 2005. “You accept, since you have been in the Curia for years; you’re intelligent and honest; try and reform the Curia, and if not, you leave.”"
"Highlight (Yellow)","Location 3394","","According to vaticanista Andrea Tornielli, while Fausti’s account of what happened at the 2005 conclave is open to interpretation, there is “no doubt” that Martini told Benedict, in 2012, to resign."
"Highlight (Yellow)","Location 3396","","In one of Antonio Socci’s books on Benedict XVI, there is a chapter called “Dances with Wolves.” It alludes to Benedict’s cryptic cry after his election: “Pray for me, that I may not flee for fear of the wolves.”"
"Highlight (Yellow)","Location 3401","","And yet what is interesting about the phrase “dances with wolves” is that it is not an image of open war. It is an image of trustfully befriending something dangerous."
